Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,5477.439941,5521.439941,5474.479980,5520.500000,5520.500000,73369100
2018-05-02,5511.459961,5538.729980,5509.080078,5529.220215,5529.220215,93979100
2018-05-03,5515.359863,5523.779785,5489.629883,5501.660156,5501.660156,79259400
2018-05-04,5495.709961,5516.049805,5485.990234,5516.049805,5516.049805,85333000
2018-05-07,5511.939941,5532.120117,5503.700195,5531.419922,5531.419922,45591900
2018-05-08,5523.910156,5529.149902,5496.390137,5521.930176,5521.930176,70214400
2018-05-09,5520.649902,5535.240234,5511.580078,5534.629883,5534.629883,72894200
2018-05-10,5532.370117,5547.200195,5522.910156,5545.950195,5545.950195,48972800
2018-05-11,5533.410156,5544.740234,5521.339844,5541.939941,5541.939941,61288900
2018-05-14,5539.049805,5542.209961,5524.439941,5540.680176,5540.680176,59725700
2018-05-15,5529.390137,5563.359863,5527.640137,5553.160156,5553.160156,88419600
2018-05-16,5546.390137,5570.959961,5540.669922,5567.540039,5567.540039,76258900
2018-05-17,5570.390137,5621.919922,5570.040039,5621.919922,5621.919922,80318200
2018-05-18,5610.140137,5643.149902,5603.350098,5614.509766,5614.509766,115184600
2018-05-21,5626.700195,5657.439941,5626.180176,5637.509766,5637.509766,49392900
2018-05-22,5637.939941,5653.089844,5628.930176,5640.100098,5640.100098,82627400
2018-05-23,5626.020020,5626.020020,5544.410156,5565.850098,5565.850098,100736000
2018-05-24,5576.649902,5598.649902,5523.220215,5548.450195,5548.450195,85231200
2018-05-25,5570.729980,5592.160156,5519.779785,5542.549805,5542.549805,87810500
2018-05-28,5565.660156,5577.379883,5492.299805,5508.930176,5508.930176,58701500
2018-05-29,5466.479980,5480.180176,5389.609863,5442.000000,5442.000000,0
